Date,Open,High,Low,Close,Volume
20100719,346.7188,349.0522,346.6686,349.0522,20568
20100720,349.0438,349.5958,340.8726,348.0904,18336
20100721,348.0904,348.3413,341.2323,345.8239,19194
20100722,345.8239,346.2420,340.2788,344.5693,14003
20100723,340.4796,342.9050,340.4796,341.1068,20306
20100726,341.2239,342.5370,338.7232,342.1523,13197
20100727,343.3817,344.1595,341.0316,341.4414,18323
20100728,341.4414,341.4414,335.6036,338.3050,36504
20100729,337.8869,340.3792,337.2763,339.3170,35454
20100730,341.1905,344.5777,341.1905,342.4868,16924
20100803,342.4868,346.7940,341.2992,344.6362,52700
20100804,344.1428,347.0868,344.1093,346.0831,35851
20100805,344.5777,350.8420,343.7581,350.4322,39686
20100806,350.3318,350.3318,345.9577,348.1656,64260
20100809,348.3329,349.3449,346.7522,348.6758,132633
20100810,346.2337,348.5671,341.9014,344.6613,22553
20100811,344.6530,346.2504,335.3945,337.0505,27182
20100812,337.0505,342.8548,327.8506,327.8506,16339
20100813,327.9426,337.4687,327.9426,334.5414,12284
20100816,335.1185,337.7949,334.5414,337.6025,8768
20100817,338.2130,338.8654,336.5152,337.0505,13878
20100818,338.5559,340.2537,337.8869,339.1498,16629
20100819,340.3039,346.6686,340.3039,345.4391,59667
20100820,346.7271,347.0868,343.4068,344.5777,58897
20100823,346.1668,346.6686,344.5693,346.3759,11982
20100824,346.2337,346.2420,338.7316,345.4140,13983
20100825,345.7904,346.2588,342.7043,343.1559,10039
20100826,344.5693,346.2337,343.5908,346.2337,18996
20100827,344.6362,346.2420,342.9050,344.0675,17487
20100830,344.0675,346.6268,342.9050,346.6268,35370
20100831,345.1631,353.6856,345.1631,353.6856,52542
20100901,352.8492,355.6594,348.1322,353.0165,51339
20100902,352.0714,352.0798,348.1322,350.0307,37229
20100903,351.6867,352.1049,349.8049,351.1012,9174
20100907,349.1776,355.4503,349.1693,355.4503,25351
20100908,352.9412,355.4503,348.1573,349.1776,27222
20100909,350.8169,352.1049,348.2827,349.9973,23182
20100910,349.2195,354.2459,348.7595,352.9412,31261
20100913,352.7405,355.4503,348.9518,353.3176,22619
20100914,352.7656,352.8409,348.7595,350.1896,10594
20100915,349.8216,349.9471,342.1104,342.2777,18299
20100916,343.4821,348.1322,342.9217,346.1919,10354
20100917,345.7653,346.4846,334.5498,335.5451,44666
20100920,339.5512,343.3817,337.8869,342.6792,17745
20100921,344.1261,344.1261,340.0028,342.4868,14748
20100922,342.8213,344.9875,341.1152,343.7413,20205
20100923,343.7330,349.3867,343.7330,348.7678,18197
20100924,347.5133,350.0140,347.5049,349.1860,22834
20100927,348.7427,351.2351,347.1704,348.9100,22988
